Assay	Variant	Type
Neo	neo_reg	qPCR
Neo	Neo	qPCR
LacZ	LacZ_reg	qPCR
LacZ	lacz	qPCR
Cre_2	cre	qPCR
Cre_2	cre_2	qPCR
iCre	icre	qPCR
3LoxP	3loxp	qPCR
3LoxP	loxp	qPCR
5FRT	5FRT	qPCR
5FRT	5'FRT	qPCR
5FRT	frt	qPCR
Flp_O	flpo	qPCR
Flp_O	flp_o	qPCR
Flp_O	flp0	qPCR
Flp_O	flp_0	qPCR
Flp_O	flp-o	qPCR
Flp_E	flpe	qPCR
Flp_E	flp_e	qPCR
Flp_E	FlpER	qPCR
Cas9_endo	cas9-endo	qPCR
Cas9_endo	cas9_endo	qPCR
Cas9_mamm	cas9_mamm	qPCR
Cas9_mamm	cas9-mamm	qPCR
Cherry_1	cherry	qPCR
Cherry_1	cherry-1	qPCR
Cherry_1	Cherry_1	qPCR
Dre_1	dre_1	qPCR
Dre_1	dre	qPCR
TdTomato	tomato	qPCR
TdTomato	tdtomato	qPCR
Tm1b_prom	tm1b	qPCR
Tm1b_prom	tm1b_prom	qPCR
Tm1b_P-L	tm1b_P-L	qPCR
Tm1c_2	tm1c_2	qPCR
Tm1c_2	tm1c	qPCR
EGFP_4	egfp4	qPCR
EGFP_4	EFGP_4	qPCR
EGFP_4	egfp_4	qPCR
Uprt_Tg	uprt	qPCR
Uprt_Tg	Uprt_Tg	qPCR
Puro_3	puro	qPCR
Puro_3	puro_3	qPCR
CUX1DEL18	CUX1DEL18	LoA
Cux1ex18DEL	Cux1ex18DEL	LoA
Klrc_1-3_A	Klrc_1-3_A	LoA
Klrc_1-3_B	Klrc_1-3_B	LoA
Rosa26_Dre_D03	Rosa26_Dre_D03	LoA
Ankrd11_GENOMIC	Ankrd11_GENOMIC	LoA
VF5	VF5	qPCR
VF5	VF5_VECTOR	qPCR
Fucci2_Excised	Fucci2_Excised	qPCR
Tcl1_Emu	Tcl1_Emu	qPCR
EGFP_2	EGFP_2	qPCR
5031439G07	5031439G07	LoA
Xist_DEL	Xist_DEL	LoA
ACSL4_WT	ACSL4_WT	Gender
ACSL4_WT	ACSL4	Gender
ACSL4_WT	Gender	Gender
ACSL4_WT	ASCL4	Gender
Il10ra_exon1	Il10ra_exon1	LoA
Il10_exon1	Il10_exon1	LoA
En2SA	En2SA	qPCR
LunSD	LunSD	qPCR
